filename	imdb_id	country
0047d26457fdb00cedb03298f3507228	0111161	USA
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	USA
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	Germany
26d24e4fd4c32f9568b84135d32d3abd	0133093	USA
26d24e4fd4c32f9568b84135d32d3abd	0133093	Australia
43474ec3212ab30d99eb0401a9df60c7	0076759	USA
68a9d1d665719a59691b086592f3f427	0068646	USA
919fe9691f3b68c90fb4f4aaa84273b3	0110912	USA
b237419ef642b942b483cb0ab67dbd96	0120737	NewZealand
b237419ef642b942b483cb0ab67dbd96	0120737	USA
b74b1bf6e9d40a95f721981455767bc4	0468569	USA
b74b1bf6e9d40a95f721981455767bc4	0468569	UK
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	USA
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	NewZealand
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	Germany
