filename	imdb_id	imdb_actor_id	actor_name	imdb_character_id	character_name
68a9d1d665719a59691b086592f3f427	0068646	0144710	Richard S. Castellano	0000812	Peter Clemenza
68a9d1d665719a59691b086592f3f427	0068646	0000380	Robert Duvall	0000792	Tom Hagen
68a9d1d665719a59691b086592f3f427	0068646	0001330	Sterling Hayden	0000808	Capt. McCluskey
68a9d1d665719a59691b086592f3f427	0068646	0549134	John Marley	0000817	Jack Woltz
68a9d1d665719a59691b086592f3f427	0068646	0002017	Richard Conte	0000814	Don Emilio Barzini
68a9d1d665719a59691b086592f3f427	0068646	0504803	Al Lettieri	0000816	Virgil 'The Turk' Sollozzo
68a9d1d665719a59691b086592f3f427	0068646	0000473	Diane Keaton	0000793	Kay Adams
68a9d1d665719a59691b086592f3f427	0068646	0001820	Abe Vigoda	0000806	Sal Tessio
68a9d1d665719a59691b086592f3f427	0068646	0001735	Talia Shire	0000797	Connie Corleone Rizzi
68a9d1d665719a59691b086592f3f427	0068646	0751625	Gianni Russo	0000815	Carlo Rizzi
68a9d1d665719a59691b086592f3f427	0068646	0001030	John Cazale	0000801	Fredo Corleone
68a9d1d665719a59691b086592f3f427	0068646	0094036	Rudy Bond	0000827	Don Carmine Cuneo
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0000237	John Travolta	0001782	Vincent Vega
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0000168	Samuel L. Jackson	0001783	Jules Winnfield
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0000619	Tim Roth	0001786	Pumpkin - Ringo
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0001625	Amanda Plummer	0001792	Honey Bunny - Yolanda
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0000655	Eric Stoltz	0001788	Lance
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0000246	Bruce Willis	0001781	Butch Coolidge
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0000609	Ving Rhames	0001789	Marsellus Wallace
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0482851	Phil LaMarr	0001791	Marvin
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0210218	Maria de Medeiros	0001795	Fabienne
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0000275	Rosanna Arquette	0001790	Jody
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0338886	Peter Greene	0001794	Zed
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0000235	Uma Thurman	0001785	Mia Wallace
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0924261	Duane Whitaker	0001798	Maynard
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0129538	Paul Calderon	0001799	Paul
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0001844	Frank Whaley	0001793	Brett
b237419ef642b942b483cb0ab67dbd96	0120737	0397102	Alan Howard	0028838	The Ring
b237419ef642b942b483cb0ab67dbd96	0120737	0032370	Noel Appleby	0000163	Everard Proudfoot
b237419ef642b942b483cb0ab67dbd96	0120737	0000276	Sean Astin	0000142	Samwise 'Sam' Gamgee
