filename	imdb_id	plot_keyword
0047d26457fdb00cedb03298f3507228	0111161	Prison
0047d26457fdb00cedb03298f3507228	0111161	Murder
0047d26457fdb00cedb03298f3507228	0111161	Shawshank
0047d26457fdb00cedb03298f3507228	0111161	Friend
0047d26457fdb00cedb03298f3507228	0111161	Banker
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	Club
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	Fight
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	Office
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	Boxing
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	Reference To Ikea
26d24e4fd4c32f9568b84135d32d3abd	0133093	Computer
26d24e4fd4c32f9568b84135d32d3abd	0133093	Hacker
26d24e4fd4c32f9568b84135d32d3abd	0133093	The Matrix
26d24e4fd4c32f9568b84135d32d3abd	0133093	Computer Hacker
26d24e4fd4c32f9568b84135d32d3abd	0133093	Reality
43474ec3212ab30d99eb0401a9df60c7	0076759	Death Star
43474ec3212ab30d99eb0401a9df60c7	0076759	Empire
43474ec3212ab30d99eb0401a9df60c7	0076759	Planet
43474ec3212ab30d99eb0401a9df60c7	0076759	Galaxy
43474ec3212ab30d99eb0401a9df60c7	0076759	Princess
68a9d1d665719a59691b086592f3f427	0068646	Mafia
68a9d1d665719a59691b086592f3f427	0068646	Wedding
68a9d1d665719a59691b086592f3f427	0068646	Lawyer
68a9d1d665719a59691b086592f3f427	0068646	Violence
68a9d1d665719a59691b086592f3f427	0068646	Organized Crime
919fe9691f3b68c90fb4f4aaa84273b3	0110912	Boxer
919fe9691f3b68c90fb4f4aaa84273b3	0110912	Restaurant
919fe9691f3b68c90fb4f4aaa84273b3	0110912	Briefcase
919fe9691f3b68c90fb4f4aaa84273b3	0110912	Coffee
919fe9691f3b68c90fb4f4aaa84273b3	0110912	Violence
b237419ef642b942b483cb0ab67dbd96	0120737	Ring
b237419ef642b942b483cb0ab67dbd96	0120737	Hobbit
b237419ef642b942b483cb0ab67dbd96	0120737	Doom
b237419ef642b942b483cb0ab67dbd96	0120737	Middle Earth
b237419ef642b942b483cb0ab67dbd96	0120737	Ancient
b74b1bf6e9d40a95f721981455767bc4	0468569	Batman
b74b1bf6e9d40a95f721981455767bc4	0468569	Joker
b74b1bf6e9d40a95f721981455767bc4	0468569	Gotham
b74b1bf6e9d40a95f721981455767bc4	0468569	Criminal
b74b1bf6e9d40a95f721981455767bc4	0468569	Chaos
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	Ring
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	Battle
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	Middle Earth
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	King
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	City
