filename	imdb_id	imdb_rec_id	title_name
0047d26457fdb00cedb03298f3507228	0111161	0119448	Karakter
0047d26457fdb00cedb03298f3507228	0111161	0040202	Call Northside 777
0047d26457fdb00cedb03298f3507228	0111161	0420609	Infamous
0047d26457fdb00cedb03298f3507228	0111161	0116361	Freeway
0047d26457fdb00cedb03298f3507228	0111161	1078188	Boy A
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	0434409	V for Vendetta
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	0116361	Freeway
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	0409459	Watchmen
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	0144084	American Psycho
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	0077928	Midnight Express
26d24e4fd4c32f9568b84135d32d3abd	0133093	0234215	The Matrix Reloaded
26d24e4fd4c32f9568b84135d32d3abd	0133093	0242653	The Matrix Revolutions
26d24e4fd4c32f9568b84135d32d3abd	0133093	0328832	The Animatrix
26d24e4fd4c32f9568b84135d32d3abd	0133093	0253881	Vana espuma
26d24e4fd4c32f9568b84135d32d3abd	0133093	0434409	V for Vendetta
43474ec3212ab30d99eb0401a9df60c7	0076759	0086190	Star Wars: Episode VI - Return of the Jedi
43474ec3212ab30d99eb0401a9df60c7	0076759	0121766	Star Wars: Episode III - Revenge of the Sith
43474ec3212ab30d99eb0401a9df60c7	0076759	0120915	Star Wars: Episode I - The Phantom Menace
43474ec3212ab30d99eb0401a9df60c7	0076759	0080684	Star Wars: Episode V - The Empire Strikes Back
43474ec3212ab30d99eb0401a9df60c7	0076759	0121765	Star Wars: Episode II - Attack of the Clones
68a9d1d665719a59691b086592f3f427	0068646	0071562	The Godfather: Part II
68a9d1d665719a59691b086592f3f427	0068646	0086250	Scarface
68a9d1d665719a59691b086592f3f427	0068646	0069792	Black Caesar
68a9d1d665719a59691b086592f3f427	0068646	0099685	Goodfellas
68a9d1d665719a59691b086592f3f427	0068646	0099939	King of New York
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0105236	Reservoir Dogs
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0317248	Cidade de Deus
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0235737	The Salton Sea
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0910936	Pineapple Express
919fe9691f3b68c90fb4f4aaa84273b3	0110912	0086250	Scarface
b237419ef642b942b483cb0ab67dbd96	0120737	0167260	The Lord of the Rings: The Return of the King
b237419ef642b942b483cb0ab67dbd96	0120737	0167261	The Lord of the Rings: The Two Towers
b237419ef642b942b483cb0ab67dbd96	0120737	0096446	Willow
b237419ef642b942b483cb0ab67dbd96	0120737	0442933	Beowulf
b237419ef642b942b483cb0ab67dbd96	0120737	0363771	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
b74b1bf6e9d40a95f721981455767bc4	0468569	0372784	Batman Begins
b74b1bf6e9d40a95f721981455767bc4	0468569	0096895	Batman
b74b1bf6e9d40a95f721981455767bc4	0468569	0409459	Watchmen
b74b1bf6e9d40a95f721981455767bc4	0468569	0253881	Vana espuma
b74b1bf6e9d40a95f721981455767bc4	0468569	0337978	Live Free or Die Hard
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0167261	The Lord of the Rings: The Two Towers
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0120737	The Lord of the Rings: The Fellowship of the Ring
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0442933	Beowulf
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0121766	Star Wars: Episode III - Revenge of the Sith
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0486655	Stardust
