filename	imdb_id	genre
0047d26457fdb00cedb03298f3507228	0111161	Crime
0047d26457fdb00cedb03298f3507228	0111161	Drama
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	Crime
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	Drama
13fb6f7e0257f64ca705d7cb1ed8686a	0137523	Thriller
26d24e4fd4c32f9568b84135d32d3abd	0133093	Action
26d24e4fd4c32f9568b84135d32d3abd	0133093	Adventure
26d24e4fd4c32f9568b84135d32d3abd	0133093	Sci-Fi
26d24e4fd4c32f9568b84135d32d3abd	0133093	Thriller
43474ec3212ab30d99eb0401a9df60c7	0076759	Action
43474ec3212ab30d99eb0401a9df60c7	0076759	Adventure
43474ec3212ab30d99eb0401a9df60c7	0076759	Fantasy
43474ec3212ab30d99eb0401a9df60c7	0076759	Sci-Fi
68a9d1d665719a59691b086592f3f427	0068646	Crime
68a9d1d665719a59691b086592f3f427	0068646	Drama
68a9d1d665719a59691b086592f3f427	0068646	Thriller
919fe9691f3b68c90fb4f4aaa84273b3	0110912	Crime
919fe9691f3b68c90fb4f4aaa84273b3	0110912	Thriller
b237419ef642b942b483cb0ab67dbd96	0120737	Action
b237419ef642b942b483cb0ab67dbd96	0120737	Adventure
b237419ef642b942b483cb0ab67dbd96	0120737	Fantasy
b74b1bf6e9d40a95f721981455767bc4	0468569	Action
b74b1bf6e9d40a95f721981455767bc4	0468569	Crime
b74b1bf6e9d40a95f721981455767bc4	0468569	Drama
b74b1bf6e9d40a95f721981455767bc4	0468569	Thriller
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	Action
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	Adventure
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	Fantasy
